iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
90210	0.656698	0.075695	0.0469908	0.0388032	1.83434	8.709585e+00	-1.738969e+02	-1.651873e+02
90211	0.656698	0.0771576	0.0469908	0.057767	2.31196	8.789357e+00	-1.747761e+02	-1.659868e+02
90212	0.656698	0.0771576	0.0461251	0.057767	1.84841	8.796728e+00	-1.746772e+02	-1.658805e+02
90213	0.656698	0.0771576	0.0461251	0.057767	3.59819	7.531106e+00	-1.749675e+02	-1.674364e+02
90214	0.719278	0.0972175	0.0461251	0.057767	3.59819	7.544650e+00	-1.733412e+02	-1.657966e+02
90215	0.719278	0.100019	0.0461251	0.057767	2.38055	8.507932e+00	-1.733308e+02	-1.648229e+02
90216	0.719278	0.0888345	0.052416	0.057767	2.48646	9.002999e+00	-1.731484e+02	-1.641454e+02
90217	0.753808	0.0888345	0.052416	0.057767	1.87986	8.642625e+00	-1.747480e+02	-1.661053e+02
90218	0.753808	0.0954685	0.071108	0.0507007	1.22093	6.042872e+00	-1.729853e+02	-1.669424e+02
90219	0.753808	0.0920112	0.0728561	0.0317011	1.49115	6.024860e+00	-1.737596e+02	-1.677347e+02
90220	0.753808	0.0920112	0.0459333	0.0317011	0.768403	7.925224e+00	-1.735781e+02	-1.656529e+02
90221	0.753808	0.0920112	0.0578547	0.0648764	0.768403	7.552798e+00	-1.734719e+02	-1.659191e+02
90222	0.753808	0.101256	0.0300541	0.0648764	1.21898	5.712251e+00	-1.724453e+02	-1.667330e+02
90223	0.753808	0.0957801	0.0300541	0.0104269	1.60781	6.556947e+00	-1.728374e+02	-1.662805e+02
90224	0.753808	0.106527	0.0300541	0.0169504	0.334818	4.055140e+00	-1.712332e+02	-1.671780e+02
90225	0.732742	0.106527	0.0606066	0.0169504	0.619973	6.217834e+00	-1.716316e+02	-1.654137e+02
90226	0.732742	0.0910106	0.0584331	0.0169504	0.880325	8.110817e+00	-1.724310e+02	-1.643202e+02
90227	0.732742	0.0910106	0.0551347	0.0169504	0.298013	7.513040e+00	-1.723311e+02	-1.648180e+02
90228	0.732742	0.0910106	0.0551347	0.0169504	0.325172	7.558896e+00	-1.723366e+02	-1.647778e+02
90229	0.732742	0.0910106	0.0551347	0.0509229	0.875046	8.254681e+00	-1.726087e+02	-1.643540e+02
90230	0.732742	0.0910106	0.0563091	0.0509229	1.48726	8.688791e+00	-1.728382e+02	-1.641494e+02
90231	0.732742	0.0910106	0.0563091	0.0509715	1.79555	8.799106e+00	-1.729326e+02	-1.641335e+02
90232	0.732742	0.0882294	0.0563091	0.0507222	1.79555	8.789739e+00	-1.733262e+02	-1.645365e+02
90233	0.732742	0.0882294	0.0563091	0.000195024	0.487021	7.709181e+00	-1.729801e+02	-1.652709e+02
90234	0.732742	0.0882294	0.0563907	0.000195024	3.04696	8.300488e+00	-1.729838e+02	-1.646833e+02
90235	0.701469	0.0882294	0.0563907	0.000195024	3.04696	8.666703e+00	-1.718962e+02	-1.632295e+02
90236	0.701469	0.0912584	0.0562428	0.0378865	3.07578	8.658865e+00	-1.729922e+02	-1.643333e+02
90237	0.701469	0.0868247	0.0562428	0.0416889	3.07578	8.604615e+00	-1.729820e+02	-1.643774e+02
90238	0.701469	0.0957104	0.0562428	0.0416889	3.07578	8.491985e+00	-1.735188e+02	-1.650268e+02
90239	0.716502	0.0957104	0.0429308	0.0416889	3.16874	8.168814e+00	-1.727915e+02	-1.646227e+02
90240	0.716502	0.0957104	0.0667743	0.0416889	0.890991	7.079823e+00	-1.723131e+02	-1.652333e+02
