iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
90160	0.356583	0.802179	8.45871	2.98379	0.966415	0.00153599	-1.888942e+02	-1.072886e+03	-1.261780e+03
90161	0.356583	0.791217	8.45871	3.00162	0.966415	0.00153599	-1.855845e+02	-1.076790e+03	-1.262375e+03
90162	0.35005	0.791217	8.20966	3.00162	0.94153	0.00163972	-1.855243e+02	-1.079502e+03	-1.265027e+03
90163	0.353828	0.791217	8.20966	3.00162	0.94153	0.00163972	-1.855181e+02	-1.078637e+03	-1.264155e+03
90164	0.353828	0.789047	8.20966	3.00162	0.943159	0.00163972	-1.848685e+02	-1.078894e+03	-1.263762e+03
90165	0.342761	0.789047	8.1821	3.00162	0.943159	0.00163972	-1.848881e+02	-1.082208e+03	-1.267096e+03
90166	0.342761	0.791796	8.1821	3.00162	0.943159	0.000738196	-1.866009e+02	-1.079490e+03	-1.266091e+03
90167	0.342761	0.77845	8.06635	3.00162	0.943159	0.000738196	-1.826445e+02	-1.083366e+03	-1.266011e+03
90168	0.342761	0.779324	8.06635	2.95833	0.952049	0.000738196	-1.829074e+02	-1.082370e+03	-1.265278e+03
90169	0.342761	0.779324	8.06635	2.95833	0.962969	0.000738196	-1.828991e+02	-1.081775e+03	-1.264674e+03
90170	0.352263	0.75552	7.7615	3.06598	0.962969	0.000738196	-1.759705e+02	-1.087796e+03	-1.263767e+03
90171	0.369564	0.75552	7.7615	3.29586	0.97705	0.000738196	-1.758687e+02	-1.086882e+03	-1.262750e+03
90172	0.39562	0.772553	7.7615	3.29586	0.96922	0.00111371	-1.803730e+02	-1.083613e+03	-1.263986e+03
90173	0.389211	0.744054	7.7615	3.04239	0.989099	0.00111371	-1.722833e+02	-1.091176e+03	-1.263460e+03
90174	0.3812	0.744054	7.7615	3.04239	0.992875	0.00111371	-1.722934e+02	-1.090843e+03	-1.263137e+03
90175	0.370895	0.744054	7.91827	2.98101	0.98444	0.00111371	-1.723260e+02	-1.091349e+03	-1.263675e+03
90176	0.370895	0.744054	7.91827	2.98101	0.98444	0.00111371	-1.723260e+02	-1.091349e+03	-1.263675e+03
90177	0.36015	0.744054	7.91827	3.05716	0.916259	0.00111371	-1.723742e+02	-1.091343e+03	-1.263717e+03
90178	0.36252	0.744054	7.91827	3.05716	0.916259	0.00111371	-1.723703e+02	-1.090851e+03	-1.263221e+03
90179	0.36252	0.744054	7.91827	3.1068	0.922305	0.00111371	-1.723520e+02	-1.090701e+03	-1.263053e+03
90180	0.382769	0.758054	7.88412	3.1068	0.922305	0.000929893	-1.764678e+02	-1.084943e+03	-1.261411e+03
90181	0.383155	0.758054	7.88412	3.1068	0.922305	0.000929893	-1.764672e+02	-1.084949e+03	-1.261416e+03
90182	0.383155	0.750602	7.88412	3.01913	0.922305	0.00192769	-1.733875e+02	-1.089345e+03	-1.262733e+03
90183	0.372871	0.750602	7.88412	3.01913	0.922305	0.00192769	-1.734042e+02	-1.089481e+03	-1.262885e+03
90184	0.372871	0.733718	7.88412	3.10923	0.922305	0.00247132	-1.681258e+02	-1.095568e+03	-1.263694e+03
90185	0.372871	0.733718	7.88412	3.14921	0.91264	0.00247132	-1.681222e+02	-1.095827e+03	-1.263949e+03
90186	0.372871	0.733718	7.88412	3.14921	0.91264	0.00247132	-1.681222e+02	-1.095827e+03	-1.263949e+03
90187	0.390592	0.733718	7.88412	3.14921	0.91264	0.000975828	-1.695632e+02	-1.092208e+03	-1.261771e+03
90188	0.390592	0.733718	7.88412	3.14921	0.914431	0.000975828	-1.695619e+02	-1.092208e+03	-1.261770e+03
90189	0.390592	0.733718	7.64107	3.37761	0.931299	0.000975828	-1.694994e+02	-1.092389e+03	-1.261888e+03
90190	0.404756	0.738119	7.64107	3.37761	0.931299	0.000983989	-1.706886e+02	-1.092313e+03	-1.263002e+03
90191	0.404756	0.752831	7.95786	3.24768	0.931299	0.000983989	-1.748416e+02	-1.087742e+03	-1.262583e+03
90192	0.38595	0.752831	7.95786	3.24768	0.931299	0.000983989	-1.748718e+02	-1.085826e+03	-1.260698e+03
90193	0.38595	0.747982	7.87611	3.24768	0.931299	0.000983989	-1.735038e+02	-1.087304e+03	-1.260808e+03
90194	0.38595	0.747982	7.70675	3.27444	0.931299	0.000983989	-1.735049e+02	-1.088055e+03	-1.261560e+03
90195	0.38595	0.735802	7.70675	3.26455	0.931299	0.000983989	-1.701024e+02	-1.091240e+03	-1.261342e+03
90196	0.38595	0.733292	7.74741	3.26455	0.931299	0.000983989	-1.694061e+02	-1.092158e+03	-1.261564e+03
90197	0.384154	0.733292	7.65834	3.26455	0.925645	0.000983989	-1.694177e+02	-1.092161e+03	-1.261579e+03
90198	0.388692	0.741641	7.65834	3.26455	0.925645	0.000983989	-1.717298e+02	-1.090072e+03	-1.261802e+03
90199	0.388692	0.741641	7.67403	3.26455	0.925645	0.000983989	-1.717290e+02	-1.089938e+03	-1.261667e+03
90200	0.388692	0.741641	7.6844	3.32218	0.925645	0.000983989	-1.717130e+02	-1.089916e+03	-1.261629e+03
90201	0.39902	0.741641	7.6844	3.32218	0.905227	0.000983989	-1.717120e+02	-1.091482e+03	-1.263194e+03
90202	0.39902	0.727855	7.7782	3.32218	0.905227	0.000983989	-1.678927e+02	-1.094470e+03	-1.262363e+03
90203	0.39567	0.727855	7.7395	3.54208	0.905227	0.000983989	-1.678422e+02	-1.094919e+03	-1.262761e+03
90204	0.415159	0.747472	7.93631	3.54208	0.883056	0.000983989	-1.732694e+02	-1.091227e+03	-1.264496e+03
90205	0.415159	0.747472	8.06009	3.5816	0.872896	0.000983989	-1.732609e+02	-1.091231e+03	-1.264492e+03
90206	0.415159	0.743542	8.06009	3.84787	0.872896	0.000983989	-1.720894e+02	-1.092931e+03	-1.265020e+03
90207	0.415159	0.738344	8.06009	3.69415	0.896921	0.000983989	-1.706581e+02	-1.095207e+03	-1.265865e+03
90208	0.415159	0.738344	8.06009	3.69415	0.896921	0.000910659	-1.707308e+02	-1.095091e+03	-1.265821e+03
90209	0.414323	0.738344	7.62575	3.35422	0.891235	0.000910659	-1.708459e+02	-1.095841e+03	-1.266687e+03
90210	0.410557	0.730237	7.66953	3.35422	0.91746	0.000910659	-1.685880e+02	-1.094998e+03	-1.263586e+03
90211	0.416831	0.730237	7.82465	3.23762	0.895392	0.000910659	-1.686185e+02	-1.096750e+03	-1.265369e+03
90212	0.416831	0.730237	7.93852	3.23762	0.885806	0.000910659	-1.686202e+02	-1.097105e+03	-1.265725e+03
90213	0.416831	0.730237	7.93852	3.40742	0.885806	0.000910659	-1.685749e+02	-1.096428e+03	-1.265003e+03
90214	0.416831	0.747484	7.93852	3.40742	0.86194	0.000910659	-1.733940e+02	-1.093761e+03	-1.267155e+03
90215	0.41504	0.75895	8.21208	3.54853	0.86194	0.000910659	-1.766037e+02	-1.088556e+03	-1.265160e+03
90216	0.382693	0.749693	8.21208	3.47331	0.885249	0.000910659	-1.740234e+02	-1.089014e+03	-1.263037e+03
90217	0.378305	0.749693	8.21208	3.38566	0.885249	0.000910659	-1.740536e+02	-1.088949e+03	-1.263002e+03
90218	0.378305	0.749693	8.21208	3.13048	0.885249	0.000910659	-1.741224e+02	-1.088394e+03	-1.262517e+03
90219	0.378305	0.768651	8.60408	3.40626	0.885249	0.000910659	-1.794596e+02	-1.084927e+03	-1.264387e+03
90220	0.378305	0.79464	8.60408	3.40626	0.902285	0.00208678	-1.859669e+02	-1.076992e+03	-1.262959e+03
90221	0.372869	0.79464	8.52444	3.14686	0.93973	0.00208678	-1.860208e+02	-1.075584e+03	-1.261604e+03
